val_year,train_rows,val_rows,backend,coverage_conf_58,coverage_conf_64,brier,accuracy,roc_auc
2018,3068,778,lightgbm,0.4318766066838046,0.17737789203084833,0.23914151211497378,0.5745501285347043,0.5945396748752615
2019,3846,1004,lightgbm,0.5268924302788844,0.31175298804780877,0.2424025105474672,0.5707171314741036,0.614
2020,4850,347,lightgbm,0.5821325648414986,0.27953890489913547,0.25154850023151437,0.5590778097982709,0.5272184185796751
2021,5197,1003,lightgbm,0.48454636091724823,0.21335992023928216,0.244805664931628,0.5672981056829511,0.5863552501829055
2022,6200,878,lightgbm,0.4772209567198178,0.14236902050113895,0.24612422318747026,0.5546697038724373,0.5606137032366542
2023,7078,886,lightgbm,0.5,0.18397291196388263,0.23426419948986982,0.6060948081264108,0.6382939692731024
2024,7964,1119,lightgbm,0.4262734584450402,0.1260053619302949,0.23973471843351177,0.5737265415549598,0.6183316392740477
2025,9083,886,lightgbm,0.4503386004514673,0.14446952595936793,0.24367865310991524,0.5677200902934537,0.5972629969418959
2026,9969,318,lightgbm,0.3522012578616352,0.09433962264150944,0.24166196988896066,0.5660377358490566,0.6124439861997859
