filter_mode,confidence_threshold,directional_margin,under_confirm_ceiling,over_confirm_floor,max_discrepancy,bets,coverage,accuracy,roi_185,roi_190,roi_200,profit_190,max_losing_streak,over_bets,under_bets,over_accuracy,under_accuracy,avg_confidence
directional_consensus,0.68,0.05,0.45,0.55,,63,0.008647906657515443,0.6349206349206349,0.17460317460317462,0.2063492063492063,0.2698412698412698,12.999999999999998,3,0,63,,0.6349206349206349,0.702830496204646
hybrid_both,0.62,0.04,0.46,0.54,0.18,451,0.06190803019903912,0.6341463414634146,0.1731707317073171,0.2048780487804878,0.2682926829268293,92.39999999999999,5,3,448,0.3333333333333333,0.6361607142857143,0.6414975118669936
directional_consensus,0.68,0.07,0.43,0.57,,30,0.004118050789293068,0.6333333333333333,0.1716666666666667,0.2033333333333333,0.26666666666666666,6.1,3,0,30,,0.6333333333333333,0.7051238791141871
legacy_discrepancy,0.6,0.05,0.45,0.55,0.26,1265,0.17364447494852436,0.6324110671936759,0.16996047430830044,0.20158102766798414,0.2648221343873518,254.99999999999994,7,96,1169,0.78125,0.6201881950384944,0.6308077023244143
legacy_discrepancy,0.62,0.05,0.45,0.55,0.18,483,0.0663006177076184,0.6314699792960663,0.16821946169772256,0.1997929606625259,0.2629399585921325,96.5,5,7,476,0.5714285714285714,0.6323529411764706,0.6409164728152027
legacy_discrepancy,0.6,0.05,0.45,0.55,0.18,918,0.1260123541523679,0.630718954248366,0.16683006535947717,0.1983660130718954,0.26143790849673204,182.09999999999997,6,32,886,0.75,0.626410835214447,0.6259690752645596
legacy_discrepancy,0.58,0.05,0.45,0.55,0.12,854,0.11722717913520933,0.629976580796253,0.16545667447306792,0.19695550351288055,0.25995316159250587,168.2,9,26,828,0.7307692307692307,0.6268115942028986,0.6073360254202437
hybrid_both,0.62,0.06,0.44,0.56,0.18,351,0.04818119423472889,0.6296296296296297,0.16481481481481486,0.19629629629629622,0.25925925925925924,68.89999999999998,5,1,350,0.0,0.6314285714285715,0.6423695000154293
hybrid_both,0.6,0.06,0.44,0.56,0.16,515,0.07069320521619767,0.629126213592233,0.1638834951456311,0.19533980582524268,0.258252427184466,100.59999999999998,5,3,512,0.3333333333333333,0.630859375,0.6281240838908294
directional_consensus,0.62,0.04,0.46,0.54,,652,0.08949897048730268,0.6288343558282209,0.16334355828220865,0.19478527607361965,0.25766871165644173,127.0,5,4,648,0.5,0.6296296296296297,0.6477968067456255
directional_consensus,0.62,0.03,0.47,0.53,,694,0.09526424159231298,0.6282420749279539,0.16224783861671474,0.19365994236311235,0.2564841498559078,134.39999999999998,5,7,687,0.42857142857142855,0.6302765647743813,0.6475209213327764
legacy_discrepancy,0.6,0.05,0.45,0.55,0.22,1116,0.15319148936170213,0.6281362007168458,0.16205197132616492,0.19345878136200712,0.25627240143369173,215.89999999999995,8,59,1057,0.7966101694915254,0.618732261116367,0.6289841140039371
directional_consensus,0.62,0.05,0.45,0.55,,560,0.07687028140013727,0.6267857142857143,0.15955357142857146,0.19089285714285711,0.25357142857142856,106.89999999999998,5,2,558,0.5,0.6272401433691757,0.6488221230116464
hybrid_both,0.6,0.04,0.46,0.54,0.16,693,0.09512697323266987,0.6262626262626263,0.15858585858585864,0.18989898989898985,0.25252525252525254,131.59999999999997,6,8,685,0.5,0.6277372262773723,0.6258776056501698
directional_consensus,0.6,0.03,0.47,0.53,,1109,0.15223061084420042,0.6257889990982868,0.15770964833183052,0.18899909828674477,0.2515779981965735,209.59999999999997,7,15,1094,0.5333333333333333,0.6270566727605119,0.6334039202691674
hybrid_both,0.62,0.05,0.45,0.55,0.18,411,0.05641729581331503,0.6253041362530414,0.15681265206812653,0.18807785888077858,0.25060827250608275,77.3,5,1,410,0.0,0.6268292682926829,0.6419116718883333
legacy_discrepancy,0.62,0.05,0.45,0.55,0.22,629,0.08634179821551133,0.6248012718600954,0.1558823529411765,0.1871224165341812,0.24960254372019078,117.69999999999997,5,18,611,0.7222222222222222,0.6219312602291326,0.6440175331071317
directional_consensus,0.62,0.06,0.44,0.56,,438,0.06012354152367879,0.6232876712328768,0.15308219178082194,0.18424657534246572,0.2465753424657534,80.69999999999999,5,2,436,0.5,0.6238532110091743,0.6486215717916687
directional_consensus,0.68,0.06,0.44,0.56,,45,0.0061770761839396015,0.6222222222222222,0.15111111111111114,0.1822222222222222,0.24444444444444444,8.2,3,0,45,,0.6222222222222222,0.7039216905938426
hybrid_both,0.6,0.06,0.44,0.56,0.18,560,0.07687028140013727,0.6214285714285714,0.14964285714285722,0.18071428571428563,0.24285714285714285,101.19999999999996,6,3,557,0.3333333333333333,0.6229802513464991,0.6304181240419144
